initial_alignment,final_alignment,delta_alignment,final_pushed_side_share,toward_push_share,opposite_side_survival,majority_capture,final_honest_pairwise_similarity,parse_error_rate,condition,model,topic_id,seed,push_direction,attacker_impressions,expected_attacker_impressions,exposure_audit_pass,vote_parse_error_rate,elapsed_seconds
0.0,0.4166666666666667,0.4166666666666667,0.5,0.3333333333333333,1.0,False,0.024470281948442994,0.0,control,qwen3.5:9b,ai_labels,101,support,0,0,True,0.013888888888888888,75.88521933555603
0.0,0.16666666666666666,0.16666666666666666,0.5,0.25,1.0,False,0.05106849417909148,0.0,likes,qwen3.5:9b,ai_labels,101,support,0,0,True,0.0,74.5944607257843
0.0,0.25,0.25,0.5,0.3333333333333333,1.0,False,0.04333657581827033,0.0,single_source,qwen3.5:9b,ai_labels,101,support,60,60,True,0.013888888888888888,78.56773781776428
0.0,0.0,0.0,0.4166666666666667,0.3333333333333333,1.0,False,0.04375130154958529,0.0,distributed_sources,qwen3.5:9b,ai_labels,101,support,60,60,True,0.013888888888888888,90.13383078575134
0.0,-0.4166666666666667,-0.4166666666666667,0.5,0.0,1.0,False,0.023568593812441946,0.0,control,qwen3.5:9b,ai_labels,211,oppose,0,0,True,0.0,66.0747320652008
0.0,-0.5833333333333334,-0.5833333333333334,0.5,0.0,1.0,False,0.03274588467372797,0.0,likes,qwen3.5:9b,ai_labels,211,oppose,0,0,True,0.0,73.49941611289978
0.0,-0.5,-0.5,0.5,0.0,1.0,False,0.0453626243330486,0.0,single_source,qwen3.5:9b,ai_labels,211,oppose,60,60,True,0.0,78.2038516998291
0.0,-0.5833333333333334,-0.5833333333333334,0.5,0.0,1.0,False,0.0378377839372903,0.0,distributed_sources,qwen3.5:9b,ai_labels,211,oppose,60,60,True,0.0,87.40724658966064
0.0,-0.16666666666666666,-0.16666666666666666,0.5,0.16666666666666666,1.0,False,0.04006353537215021,0.0,control,qwen3.5:9b,ai_labels,307,support,0,0,True,0.013888888888888888,68.2092535495758
0.0,0.0,0.0,0.5,0.25,1.0,False,0.04112561455894918,0.0,likes,qwen3.5:9b,ai_labels,307,support,0,0,True,0.0,73.62934851646423
0.0,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.8333333333333334,True,0.032978109718151016,0.0,single_source,qwen3.5:9b,ai_labels,307,support,60,60,True,0.0,77.47049951553345
0.0,0.08333333333333333,0.08333333333333333,0.5,0.25,1.0,False,0.03931276409787672,0.0,distributed_sources,qwen3.5:9b,ai_labels,307,support,60,60,True,0.013888888888888888,89.17203974723816
0.0,-0.3333333333333333,-0.3333333333333333,0.5,0.0,1.0,False,0.02922291513989178,0.0,control,qwen3.5:9b,ai_labels,419,oppose,0,0,True,0.0,66.66710662841797
0.0,-0.5,-0.5,0.5,0.0,1.0,False,0.04541339238859642,0.0,likes,qwen3.5:9b,ai_labels,419,oppose,0,0,True,0.013888888888888888,74.85989618301392
0.0,-0.5,-0.5,0.5,0.0,1.0,False,0.05235918327006368,0.0,single_source,qwen3.5:9b,ai_labels,419,oppose,60,60,True,0.0,78.67999815940857
0.0,-0.25,-0.25,0.5,0.0,1.0,False,0.05252946477541273,0.0,distributed_sources,qwen3.5:9b,ai_labels,419,oppose,60,60,True,0.027777777777777776,92.98475432395935
0.0,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,1.0,False,0.030322564296288605,0.0,control,qwen3.5:9b,identity_verification,101,support,0,0,True,0.0,66.61704754829407
0.0,0.16666666666666666,0.16666666666666666,0.5,0.25,1.0,False,0.08640575448438328,0.0,likes,qwen3.5:9b,identity_verification,101,support,0,0,True,0.0,73.92754602432251
0.0,0.08333333333333333,0.08333333333333333,0.5,0.16666666666666666,1.0,False,0.06336512540519791,0.0,single_source,qwen3.5:9b,identity_verification,101,support,60,60,True,0.027777777777777776,81.54819226264954
0.0,0.08333333333333333,0.08333333333333333,0.5,0.16666666666666666,1.0,False,0.04627065868739637,0.0,distributed_sources,qwen3.5:9b,identity_verification,101,support,60,60,True,0.0,88.34601163864136
0.0,-0.25,-0.25,0.5,0.0,1.0,False,0.03321475685161195,0.0,control,qwen3.5:9b,identity_verification,211,oppose,0,0,True,0.0,65.19616603851318
0.0,-0.9166666666666666,-0.9166666666666666,0.4166666666666667,0.0,1.0,False,0.048335081152504414,0.0,likes,qwen3.5:9b,identity_verification,211,oppose,0,0,True,0.0,75.57328701019287
0.0,-0.4166666666666667,-0.4166666666666667,0.5,0.0,1.0,False,0.0653709261650828,0.0,single_source,qwen3.5:9b,identity_verification,211,oppose,60,60,True,0.0,77.81567525863647
0.0,-0.5,-0.5,0.5,0.0,1.0,False,0.04893299687255043,0.0,distributed_sources,qwen3.5:9b,identity_verification,211,oppose,60,60,True,0.0,88.97304821014404
0.0,-0.3333333333333333,-0.3333333333333333,0.4166666666666667,0.08333333333333333,1.0,False,0.027544993243605268,0.013888888888888888,control,qwen3.5:9b,identity_verification,307,support,0,0,True,0.013888888888888888,71.63419437408447
0.0,0.4166666666666667,0.4166666666666667,0.5,0.3333333333333333,1.0,False,0.051451685155677,0.0,likes,qwen3.5:9b,identity_verification,307,support,0,0,True,0.0,73.06470489501953
