judge,model,seed,intervention,initial_endorsement_share,final_endorsement_share,delta_endorsement_share
qwen2.5:7b,llama3.2:3b,7,deamplify,0.2631578947368421,0.47368421052631576,0.21052631578947367
qwen2.5:7b,llama3.2:3b,7,factcheck_label,0.21052631578947367,0.21052631578947367,0.0
qwen2.5:7b,llama3.2:3b,7,none,0.21052631578947367,0.3157894736842105,0.10526315789473684
qwen2.5:7b,llama3.2:3b,7,rebuttal,0.15789473684210525,0.0,-0.15789473684210525
qwen2.5:7b,llama3.2:3b,42,deamplify,0.3157894736842105,0.42105263157894735,0.10526315789473684
qwen2.5:7b,llama3.2:3b,42,factcheck_label,0.10526315789473684,0.3684210526315789,0.2631578947368421
qwen2.5:7b,llama3.2:3b,42,none,0.15789473684210525,0.15789473684210525,0.0
qwen2.5:7b,llama3.2:3b,42,rebuttal,0.05263157894736842,0.10526315789473684,0.05263157894736842
qwen2.5:7b,qwen3.5:2b,7,deamplify,0.0,0.05263157894736842,0.05263157894736842
qwen2.5:7b,qwen3.5:2b,7,factcheck_label,0.05263157894736842,0.10526315789473684,0.05263157894736842
qwen2.5:7b,qwen3.5:2b,7,none,0.10526315789473684,0.0,-0.10526315789473684
qwen2.5:7b,qwen3.5:2b,7,rebuttal,0.05263157894736842,0.15789473684210525,0.10526315789473684
qwen2.5:7b,qwen3.5:2b,42,deamplify,0.05263157894736842,0.15789473684210525,0.10526315789473684
qwen2.5:7b,qwen3.5:2b,42,factcheck_label,0.05263157894736842,0.05263157894736842,0.0
qwen2.5:7b,qwen3.5:2b,42,none,0.15789473684210525,0.05263157894736842,-0.10526315789473684
qwen2.5:7b,qwen3.5:2b,42,rebuttal,0.05263157894736842,0.05263157894736842,0.0
llama3.1:8b,llama3.2:3b,7,deamplify,0.42105263157894735,0.631578947368421,0.21052631578947367
llama3.1:8b,llama3.2:3b,7,factcheck_label,0.42105263157894735,0.42105263157894735,0.0
llama3.1:8b,llama3.2:3b,7,none,0.5263157894736842,0.5789473684210527,0.052631578947368474
llama3.1:8b,llama3.2:3b,7,rebuttal,0.3157894736842105,0.3157894736842105,0.0
llama3.1:8b,llama3.2:3b,42,deamplify,0.3684210526315789,0.2631578947368421,-0.10526315789473684
llama3.1:8b,llama3.2:3b,42,factcheck_label,0.42105263157894735,0.47368421052631576,0.05263157894736842
llama3.1:8b,llama3.2:3b,42,none,0.42105263157894735,0.2631578947368421,-0.15789473684210525
llama3.1:8b,llama3.2:3b,42,rebuttal,0.3684210526315789,0.21052631578947367,-0.15789473684210525
llama3.1:8b,qwen3.5:2b,7,deamplify,0.42105263157894735,0.631578947368421,0.21052631578947367
llama3.1:8b,qwen3.5:2b,7,factcheck_label,0.2631578947368421,0.3684210526315789,0.10526315789473684
llama3.1:8b,qwen3.5:2b,7,none,0.47368421052631576,0.5789473684210527,0.10526315789473689
llama3.1:8b,qwen3.5:2b,7,rebuttal,0.42105263157894735,0.47368421052631576,0.05263157894736842
llama3.1:8b,qwen3.5:2b,42,deamplify,0.3157894736842105,0.21052631578947367,-0.10526315789473684
llama3.1:8b,qwen3.5:2b,42,factcheck_label,0.47368421052631576,0.2631578947368421,-0.21052631578947367
llama3.1:8b,qwen3.5:2b,42,none,0.42105263157894735,0.5263157894736842,0.10526315789473684
llama3.1:8b,qwen3.5:2b,42,rebuttal,0.21052631578947367,0.5789473684210527,0.368421052631579
